Title,Company,Location,Experience,Salary,Posted,Link,source_url
Data Scientist 4,,Bengaluru,6-11 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-4-oracle-india-pvt-ltd-bengaluru-6-to-11-years-080925502922,https://www.naukri.com/data-scientist-jobs
Data Scientist,,Hyderabad,0-5 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-blend-360-hyderabad-0-to-5-years-280825501534,https://www.naukri.com/data-scientist-jobs
Opportunity | Data Scientist (ML + SQL) | Tavant India,,"Hybrid - Noida, Hyderabad/Secunderabad, Bangalore/Bengaluru",5-8 Yrs,,Today,https://www.naukri.com/job-listings-opportunity-data-scientist-ml-sql-tavant-india-tavant-technologies-noida-hyderabad-secunderabad-bangalore-bengaluru-5-to-8-years-090925022528,https://www.naukri.com/data-scientist-jobs
Senior Data Scientist-GenAI & Machine Learning,,Hyderabad,8-13 Yrs,,Today,https://www.naukri.com/job-listings-senior-data-scientist-genai-machine-learning-prudent-globaltech-solutions-private-limited-hyderabad-8-to-13-years-020725927886,https://www.naukri.com/data-scientist-jobs
Data Scientist,Posted by Contactx Resource Management Pvt. Ltd.,"Kolkata, Bengaluru",3-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-contactx-resource-management-pvt-ltd-kolkata-bengaluru-3-to-6-years-080925910244,https://www.naukri.com/data-scientist-jobs
Data Scientist,Posted by GEETHA TECHNOLOGY SOLUTIONS PRIVATE LIMITED,"Indore, Pune, Chennai",6-10 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-geetha-technology-solutions-private-limited-indore-pune-chennai-6-to-10-years-030925922584,https://www.naukri.com/data-scientist-jobs
Data Scientist - LLM Engineering,Posted by Zorba Consulting India Pvt. Ltd.,Pune,4-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-llm-engineering-zorba-consulting-india-pvt-ltd-pune-4-to-6-years-080925912114,https://www.naukri.com/data-scientist-jobs
Data Scientist,,"Hyderabad, Chennai, Bengaluru",0-2 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-ti-steps-hyderabad-chennai-bengaluru-0-to-2-years-300825010445,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Pune,2-10 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-faurecia-automotive-seating-india-pvt-ltd-pune-2-to-10-years-040225506249,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Bengaluru,3-8 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-titan-company-ltd-bengaluru-3-to-8-years-050925921746,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,"Hyderabad, Chennai, Bengaluru",1-3 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-ti-steps-hyderabad-chennai-bengaluru-1-to-3-years-090925015311,https://www.naukri.com/data-scientist-jobs-2
Industrial Data Scientist,,Bengaluru,3-8 Yrs,,1 day ago,https://www.naukri.com/job-listings-industrial-data-scientist-imperial-oil-bengaluru-3-to-8-years-080925501145,https://www.naukri.com/data-scientist-jobs-2
Physical Data Scientist,,Bengaluru,3-8 Yrs,,1 day ago,https://www.naukri.com/job-listings-physical-data-scientist-imperial-oil-bengaluru-3-to-8-years-080925501147,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Bengaluru,9-14 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-ericsson-india-global-services-pvt-ltd-bengaluru-9-to-14-years-030925501475,https://www.naukri.com/data-scientist-jobs-2
Data Scientist | Machine Learning | NLP | AI,,"Hyderabad, Bengaluru",5-10 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-machine-learning-nlp-ai-jero-technologies-hyderabad-bengaluru-5-to-10-years-080925902679,https://www.naukri.com/data-scientist-jobs-2
Advanced Data Scientist,,Bengaluru,5-10 Yrs,,1 day ago,https://www.naukri.com/job-listings-advanced-data-scientist-imperial-oil-bengaluru-5-to-10-years-080925500644,https://www.naukri.com/data-scientist-jobs-2
Data Scientist-Artificial Intelligence,,Bengaluru,5-7 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-5-to-7-years-040925927625,https://www.naukri.com/data-scientist-jobs-2
Data Scientist AI & Azure / AWS - F2F Drive Saturday,,Hybrid - Bengaluru(Whitefield),13 Sep,,Today,https://www.naukri.com/job-listings-data-scientist-ai-azure-aws-f2f-drive-saturday-ltimindtree-bengaluru-5-to-10-years-090925020903,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Bengaluru,3-8 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-titan-company-ltd-bengaluru-3-to-8-years-050925918053,https://www.naukri.com/data-scientist-jobs-2
Data Scientist - Generative AI,,Bengaluru,2-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-generative-ai-aerotec-bengaluru-2-to-6-years-080925503476,https://www.naukri.com/data-scientist-jobs-2
Commercial Data Scientist,,Bengaluru,2-7 Yrs,,1 day ago,https://www.naukri.com/job-listings-commercial-data-scientist-imperial-oil-bengaluru-2-to-7-years-080925501547,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Bengaluru,4-5 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-diverse-lynx-bengaluru-4-to-5-years-080925502370,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Bengaluru,7-12 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-greedygame-bengaluru-7-to-12-years-090925502001,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,"Hybrid - Hyderabad, Pune, Bengaluru",7-12 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-randomtrees-hyderabad-pune-bengaluru-7-to-12-years-090925017040,https://www.naukri.com/data-scientist-jobs-2
AI Architect / Data Scientist,,Hybrid - Bengaluru,8-13 Yrs,,Today,https://www.naukri.com/job-listings-ai-architect-data-scientist-cirruslabs-bengaluru-8-to-13-years-090925014750,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,"Hybrid - Gurugram, Bengaluru",4-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-exl-gurugram-bengaluru-4-to-6-years-080925033873,https://www.naukri.com/data-scientist-jobs-2
Data Scientist/Architect,,"Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai, Bengaluru",4-9 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-architect-criticalriver-inc-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-4-to-9-years-090925500665,https://www.naukri.com/data-scientist-jobs-2
Data Scientist,,Bengaluru,0-2 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-razorthink-bengaluru-0-to-2-years-280825911844,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Chennai,5-8 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-siemens-limited-chennai-5-to-8-years-050925908309,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Chennai,2-7 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-ford-global-business-services-chennai-2-to-7-years-040925501605,https://www.naukri.com/data-scientist-jobs-3
Data Scientist - L3,,Pune,3-5 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-l3-wipro-limited-pune-3-to-5-years-030925928781,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Chennai,2-7 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-ford-india-private-limited-chennai-2-to-7-years-040925501584,https://www.naukri.com/data-scientist-jobs-3
Data scientist,,Bengaluru,5-10 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-cgi-information-systems-and-management-consultants-private-limited-bengaluru-5-to-10-years-050925916927,https://www.naukri.com/data-scientist-jobs-3
Data Scientist - I Data Scien,,Pune,5-7 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-i-data-scien-citiustech-pune-5-to-7-years-030925503120,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Pune,6-10 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-rolls-royce-pune-6-to-10-years-040925501235,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Bengaluru,0-2 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-razorthink-bengaluru-0-to-2-years-010925916987,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Itanagar,2-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-progressive-data-jobs-itanagar-2-to-6-years-080925503642,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Bengaluru,5-10 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-kotak-mahindra-life-insurance-company-limited-bengaluru-5-to-10-years-050925922511,https://www.naukri.com/data-scientist-jobs-3
Senior Machine Learning Engineer/Data Scientist (m/f/d),,Pune,5-10 Yrs,,1 week ago,https://www.naukri.com/job-listings-senior-machine-learning-engineer-data-scientist-m-f-d-siemens-limited-pune-5-to-10-years-270825918669,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Pune,5-8 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-wipro-limited-pune-5-to-8-years-030925917323,https://www.naukri.com/data-scientist-jobs-3
Data Scientist - Machine Learning/Artificial Intelligence,Posted by Zorba Consulting India Pvt. Ltd.,Gurugram,5-7 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-machine-learning-artificial-intelligence-zorba-consulting-india-pvt-ltd-gurugram-5-to-7-years-090925916693,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,"Hyderabad, Chennai, Bengaluru",4-7 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-cgi-information-systems-and-management-consultants-private-limited-hyderabad-chennai-bengaluru-4-to-7-years-050925916934,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,Posted by Anlage Infotech,"Hybrid - Chennai, Bengaluru",5-10 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-anlage-infotech-chennai-bengaluru-5-to-10-years-080925009007,https://www.naukri.com/data-scientist-jobs-3
Data Scientist (Vector DB Engineer Data Scientist,,Bengaluru,5-10 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-vector-db-engineer-data-scientist-caterpillar-brazil-bengaluru-5-to-10-years-050925504638,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,Posted by Recruise India Consulting,Bengaluru,7-10 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-recruise-india-consulting-bengaluru-7-to-10-years-090925017050,https://www.naukri.com/data-scientist-jobs-3
"Specialist Data Scientist, Actimize",,Hybrid - Pune,8-12 Yrs,,4 days ago,https://www.naukri.com/job-listings-specialist-data-scientist-actimize-nice-interactive-pune-8-to-12-years-050925006052,https://www.naukri.com/data-scientist-jobs-3
Data Scientist - LLM Engineering,Posted by Zorba Consulting India Pvt. Ltd.,Hybrid - Bengaluru,4-6 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-llm-engineering-zorba-consulting-india-pvt-ltd-bengaluru-4-to-6-years-040925927308,https://www.naukri.com/data-scientist-jobs-3
Data Scientist,,Navi Mumbai,0-2 Yrs,,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-intelecorp-software-india-navi-mumbai-0-to-2-years-250825009750,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Navi Mumbai,3-6 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-jio-credit-limited-navi-mumbai-3-to-6-years-040925022323,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Bengaluru,3-6 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-bengaluru-3-to-6-years-270825907593,https://www.naukri.com/data-scientist-jobs-4
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-290825915152,https://www.naukri.com/data-scientist-jobs-4
Data Scientist - Artificial Intelligence,Posted by The IT Mind services,Indore,4-8 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-the-it-mind-services-indore-4-to-8-years-290825921373,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,Posted by The IT Mind services,Remote,3-6 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-the-it-mind-services-indore-3-to-6-years-290825921651,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Haryana,5-7 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-renew-haryana-5-to-7-years-090925016951,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,Posted by The IT Mind services,Indore,3-6 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-the-it-mind-services-indore-3-to-6-years-290825922567,https://www.naukri.com/data-scientist-jobs-4
Immediate Hiring For Python Developer AIML (Data Scientist),,Hyderabad,5-10 Yrs,,Today,https://www.naukri.com/job-listings-immediate-hiring-for-python-developer-aiml-data-scientist-motivity-labs-hyderabad-5-to-10-years-041124003754,https://www.naukri.com/data-scientist-jobs-4
Data scientist,,Nagercoil,0-2 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-panacorp-software-solutions-nagercoil-0-to-2-years-270825912015,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Hyderabad,0-5 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-blend360-hyderabad-0-to-5-years-010925502159,https://www.naukri.com/data-scientist-jobs-4
Data scientist,,"Hybrid - Chennai, Bengaluru",5-8 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-latentview-analytics-chennai-bengaluru-5-to-8-years-040925010215,https://www.naukri.com/data-scientist-jobs-4
Data Scientist - Pharmova,,Noida,3-5 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-scientist-pharmova-jubilant-biosys-noida-3-to-5-years-090925501212,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Bengaluru,3-6 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-ibm-india-pvt-limited-bengaluru-3-to-6-years-290825915181,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Bengaluru,5-10 Yrs,,4 days ago,https://www.naukri.com/job-listings-data-scientist-apm-terminal-sport-india-bengaluru-5-to-10-years-050925504763,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,Posted by GEETHA TECHNOLOGY SOLUTIONS PRIVATE LIMITED,"Hyderabad, Ahmedabad, Bengaluru",6-10 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-geetha-technology-solutions-private-limited-hyderabad-ahmedabad-bengaluru-6-to-10-years-030925922594,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Noida,4-5 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-scaleupally-noida-4-to-5-years-080925500735,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Hyderabad,8-13 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-prudent-globaltech-solutions-private-limited-hyderabad-8-to-13-years-020725928199,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Pune,3-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-scientist-blueridge-global-private-limited-pune-3-to-6-years-080925502518,https://www.naukri.com/data-scientist-jobs-4
Data Scientist,,Hyderabad,8-13 Yrs,,Today,https://www.naukri.com/job-listings-data-scientist-prudent-globaltech-solutions-private-limited-hyderabad-8-to-13-years-020725928692,https://www.naukri.com/data-scientist-jobs-4
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-270825907501,https://www.naukri.com/data-scientist-jobs-5
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-250825914708,https://www.naukri.com/data-scientist-jobs-5
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-250825914656,https://www.naukri.com/data-scientist-jobs-5
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-270825907647,https://www.naukri.com/data-scientist-jobs-5
Senior Data Scientist (Artificial Intelligence Machine Learning),,Hybrid - Pune,3-7 Yrs,,5 days ago,https://www.naukri.com/job-listings-senior-data-scientist-artificial-intelligence-machine-learning-fis-pune-3-to-7-years-040925030596,https://www.naukri.com/data-scientist-jobs-5
"Data Scientist Associate - AI/ML, Python",,Mumbai,4-9 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-associate-ai-ml-python-jp-morgan-chase-mumbai-4-to-9-years-270825501023,https://www.naukri.com/data-scientist-jobs-5
Data Scientist,Posted by Careernet,"Hybrid - Hyderabad, Bengaluru, Mumbai (All Areas)",5-9 Yrs,,2 weeks ago,https://www.naukri.com/job-listings-data-scientist-careernet-hyderabad-bengaluru-mumbai-all-areas-5-to-9-years-250825023429,https://www.naukri.com/data-scientist-jobs-5
Data Scientists with AI and Generative Model experience,,"Hybrid - Kolkata, Hyderabad, Bengaluru",3-6 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientists-with-ai-and-generative-model-experience-genpact-kolkata-hyderabad-bengaluru-3-to-6-years-270525041000,https://www.naukri.com/data-scientist-jobs-5
Data Scientist,,Bengaluru,4-7 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-bengaluru-4-to-7-years-010925913029,https://www.naukri.com/data-scientist-jobs-5
Data Scientist,,Bengaluru,8-13 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-ericsson-india-global-services-pvt-ltd-bengaluru-8-to-13-years-280825503003,https://www.naukri.com/data-scientist-jobs-5
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-290825915244,https://www.naukri.com/data-scientist-jobs-5
Data Scientist-Artificial Intelligence,,Bengaluru,3-7 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-270825907418,https://www.naukri.com/data-scientist-jobs-5
Data Scientist,,Bengaluru,3-8 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-capgemini-technology-services-india-limited-bengaluru-3-to-8-years-010925912831,https://www.naukri.com/data-scientist-jobs-5
Senior Data Scientist (Artificial Intelligence Machine Learning),,Pune,4-6 Yrs,,4 days ago,https://www.naukri.com/job-listings-senior-data-scientist-artificial-intelligence-machine-learning-fis-global-business-solutions-india-pvt-ltd-pune-4-to-6-years-050925500321,https://www.naukri.com/data-scientist-jobs-5
Inviting applications For the role of Full Stack Data Scientist,,"Hybrid - Kolkata, Hyderabad, Bengaluru",10-15 Yrs,,1 week ago,https://www.naukri.com/job-listings-inviting-applications-for-the-role-of-full-stack-data-scientist-genpact-kolkata-hyderabad-bengaluru-10-to-15-years-270525040955,https://www.naukri.com/data-scientist-jobs-5
Data Scientist,,Bengaluru,6-11 Yrs,,5 days ago,https://www.naukri.com/job-listings-data-scientist-neostats-analytics-solutions-bengaluru-6-to-11-years-040925023243,https://www.naukri.com/data-scientist-jobs-5
AI Engineer/ Data Scientist,,"Mumbai Suburban, Mumbai (All Areas)",4-8 Yrs,,6 days ago,https://www.naukri.com/job-listings-ai-engineer-data-scientist-nusummit-technologies-mumbai-suburban-mumbai-all-areas-4-to-8-years-030925011459,https://www.naukri.com/data-scientist-jobs-5
Data Scientist,,Bengaluru,10-15 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-scientist-kyndryl-bengaluru-10-to-15-years-020925025132,https://www.naukri.com/data-scientist-jobs-5
Data Scientist III,,Bengaluru,7-12 Yrs,,6 days ago,https://www.naukri.com/job-listings-data-scientist-iii-sixt-r-d-pvt-ltd-bengaluru-7-to-12-years-030925922381,https://www.naukri.com/data-scientist-jobs-5
Lead Data Scientist / Machine Learning Engineer_ Exp: 6+ years,,Hybrid - Pune(Kharadi),6-11 Yrs,,1 day ago,https://www.naukri.com/job-listings-lead-data-scientist-machine-learning-engineer-exp-6-years-atyeti-pune-6-to-11-years-060925015604,https://www.naukri.com/data-scientist-jobs-5
Data Engineer | PAN India,,Bengaluru,3-6 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-engineer-pan-india-capgemini-technology-services-india-limited-bengaluru-3-to-6-years-080925932519,https://www.naukri.com/data-engineer-jobs
Data Engineer - Automotive Research,,"Gurugram, Bengaluru",1-2 Yrs,,1 day ago,https://www.naukri.com/job-listings-data-engineer-automotive-research-sp-capital-iq-india-pvt-ltd-gurugram-bengaluru-1-to-2-years-080925916743,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Indore,3-8 Yrs,,2 weeks ago,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-indore-3-to-8-years-210825939721,https://www.naukri.com/data-engineer-jobs
Databricks Data Engineer,,Bengaluru,5-9 Yrs,,Today,https://www.naukri.com/job-listings-databricks-data-engineer-infosys-limited-bengaluru-5-to-9-years-090925913389,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Pune,4-8 Yrs,,3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-cummins-india-ltd-pune-4-to-8-years-080825924679,https://www.naukri.com/data-engineer-jobs
Backend Data Engineer,,Bengaluru,1-3 Yrs,,3 weeks ago,https://www.naukri.com/job-listings-backend-data-engineer-ibm-india-pvt-limited-bengaluru-1-to-3-years-180825908243,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Bengaluru,5-10 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-engineer-globallogic-bengaluru-5-to-10-years-270825021158,https://www.naukri.com/data-engineer-jobs
GenAI - Data Engineer,,Pune,3-5 Yrs,,3+ weeks ago,https://www.naukri.com/job-listings-genai-data-engineer-citiustech-pune-3-to-5-years-040725503971,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Mumbai,2-9 Yrs,,3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-mondelez-international-mumbai-2-to-9-years-100725503895,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Bengaluru,2-6 Yrs,,3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-accolite-software-india-pvt-ltd-bengaluru-2-to-6-years-170323500848,https://www.naukri.com/data-engineer-jobs
IN_Senior Associate_Azure Data Engineer,,Bengaluru,2-6 Yrs,,3+ weeks ago,https://www.naukri.com/job-listings-in-senior-associate-azure-data-engineer-pricewaterhouse-coopers-service-delivery-center-kolkata-bengaluru-2-to-6-years-250725502773,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Pune,4-8 Yrs,,3+ weeks ago,https://www.naukri.com/job-listings-data-engineer-cummins-india-ltd-pune-4-to-8-years-080825924188,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Bengaluru,4-8 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-engineer-pump-academy-bengaluru-4-to-8-years-010925007799,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Indore,3-8 Yrs,,1 week ago,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-indore-3-to-8-years-010925918028,https://www.naukri.com/data-engineer-jobs
Data Engineer (Python with Gen AI),,"Hyderabad, Pune, Bengaluru",2-6 Yrs,,3 weeks ago,https://www.naukri.com/job-listings-data-engineer-python-with-gen-ai-capgemini-technology-services-india-limited-hyderabad-pune-bengaluru-2-to-6-years-130825915543,https://www.naukri.com/data-engineer-jobs
Data Engineer,,Bengaluru,15-20 Yrs,,3 weeks ago,https://www.naukri.com/job-listings-data-engineer-accenture-solutions-pvt-ltd-bengaluru-15-to-20-years-130825930881,https://www.naukri.com/data-engineer-jobs
Data Architect / Data Engineer - Contract (6-12 month),,Pune,6-11 Yrs,,Few hours ago,https://www.naukri.com/job-listings-data-architect-data-engineer-contract-6-12-month-asv-consulting-services-pune-6-to-11-years-050925019272,https://www.naukri.com/data-engineer-jobs
